project,file,id,line,column,original,replacement,coding
Complex.js,complex.js,1198,1416,50,{ 'value': true },"{
  'value': undefined
}",Behavioral Change
Complex.js,complex.js,64,100,9,a < b,a > b,Behavioral Change
Complex.js,complex.js,970,1011,33,b,-b,Behavioral Change
Complex.js,complex.js,600,628,14,"hypot(this['re'], this['im'])","hypot(this['im'], this['re'])",Behavioral Change
Complex.js,complex.js,1172,1388,23,this['re'],this['re'] * this['im'],Trivially Equivalent
Complex.js,complex.js,960,1010,32,b,b * 2,Behavioral Change
Complex.js,complex.js,1043,1229,9,Math.ceil,Math.floor,Behavioral Change
Complex.js,complex.js,28,45,47,x,x * 2,Behavioral Change
Complex.js,complex.js,967,1011,24,Math.sin,Math.cos,Behavioral Change
Complex.js,complex.js,1010,1131,11,b === 0,a === 0,Behavioral Change
Complex.js,complex.js,275,281,27,isNaN,Number.isNaN,Unknown
Complex.js,complex.js,723,730,9,Math.cos,Math.tan,Behavioral Change
Complex.js,complex.js,408,484,34,"Math.pow(b, z['re'])","Math.pow(b, z['re'] + 1)",Behavioral Change
Complex.js,complex.js,990,1085,35,x['im'],x['im'] * 2,Behavioral Change
Complex.js,complex.js,18,45,12,Math.abs,Math.cos,Behavioral Change
Complex.js,complex.js,940,1007,24,2 * b,2 * a,Behavioral Change
Complex.js,complex.js,15,41,65,-x,x * -1,Trivially Equivalent
Complex.js,complex.js,1130,1309,11,Math.abs(b) < Complex['EPSILON'],Math.abs(b) <= Complex['EPSILON'],Unknown
Complex.js,complex.js,710,727,21,cosh,sinh,Behavioral Change
Complex.js,complex.js,116,172,18,Math.log,Math.log1p,Behavioral Change
Complex.js,complex.js,994,1086,17,Math.atan2,Math.atan,Behavioral Change
Complex.js,complex.js,30,45,52,Math.exp,Math.cos,Behavioral Change
Complex.js,complex.js,965,1011,19,a,b,Behavioral Change
Complex.js,complex.js,1109,1273,9,Math.abs,Math.ceil,Behavioral Change
Complex.js,complex.js,1005,1087,11,noIM,noIM = !noIM,Behavioral Change
Complex.js,complex.js,1079,1254,16,"Math.pow(10, places || 0)","Math.pow(10, places || 1)",Behavioral Change
Complex.js,complex.js,1061,1240,25,10,0,Behavioral Change
Complex.js,complex.js,16,41,65,-x,-1 * x,Trivially Equivalent
Complex.js,complex.js,1197,1416,50,{ 'value': true },"{
  'value': null
}",Unknown
Complex.js,complex.js,720,727,50,2 * a,a + b,Behavioral Change
Complex.js,complex.js,788,816,13,b === -1,b !== -1,Behavioral Change
Complex.js,complex.js,732,730,28,b,b * 2,Behavioral Change
Complex.js,complex.js,955,1010,23,Math.cos,Math.sin,Behavioral Change
Complex.js,complex.js,979,1047,11,res['im'] <= 0,res['im'] > 0,Behavioral Change
Complex.js,complex.js,992,1086,17,"Math.atan2(x['im'], temp)","Math.atan2(x['im'] + 1, temp)",Behavioral Change
Complex.js,complex.js,903,989,15,Math.cos,Math.acos,Behavioral Change
Complex.js,complex.js,1051,1230,9,Math.ceil,Math.abs,Behavioral Change
Complex.js,complex.js,1077,1244,20,this['im'] * places,this['im'] * places + 1,Behavioral Change
Complex.js,complex.js,1046,1229,19,this['re'] * places,this['im'] * places,Behavioral Change
Complex.js,complex.js,982,1085,17,"logHypot(x['re'], x['im'])","logHypot(x['im'], x['re'])",Behavioral Change
Complex.js,complex.js,959,1010,32,b,b + 1,Behavioral Change
Complex.js,complex.js,579,612,11,b === 0 && a > 0,a > 0 && b === 0,Trivially Equivalent
Complex.js,complex.js,1015,1135,24,a + Math.sqrt(a * a + 1),a - Math.sqrt(a * a + 1),Behavioral Change
Complex.js,complex.js,1135,1309,20,b,-b,Trivially Equivalent
Complex.js,complex.js,1058,1240,16,Math.pow,Math.sqrt,Behavioral Change
Complex.js,complex.js,242,252,19,plus + minus === 0 || isNaN(c),plus + minus === 0 || c === 'i',Behavioral Change
Complex.js,complex.js,971,1011,33,b,b + 1,Behavioral Change
Complex.js,complex.js,737,731,18,a,a + b,Behavioral Change
Complex.js,complex.js,1087,1254,29,places || 0,places || 1,Behavioral Change
Complex.js,complex.js,902,989,15,Math.cos,Math.tan,Behavioral Change
countries-and-timezones,src/build-country.js,6,18,7,!timezonesMap,timezonesMap === undefined,Near Equivalent
countries-and-timezones,src/build-timezone.js,39,14,21,Number.isInteger,Number.isFinite,Behavioral Change
countries-and-timezones,src/build-timezone.js,62,34,30,hours,Math.floor(offset / 60),Trivially Equivalent
countries-and-timezones,src/index.js,216,70,7,!country,country === undefined,Near Equivalent
countries-and-timezones,src/index.js,176,49,18,"getCountriesForTimezone(tzName, options)","getCountriesForTimezone(tzName, options, {})",Near Equivalent
countries-and-timezones,src/index.js,177,49,18,"getCountriesForTimezone(tzName, options)","getCountriesForTimezone(tzName, options, {
  country: null
})",Near Equivalent
countries-and-timezones,src/build-country.js,0,5,7,!name,name === undefined,Near Equivalent
countries-and-timezones,src/index.js,99,17,7,totalTimezones !== memoizedTimezones,totalTimezones !== memoizedTimezones - 1,Behavioral Change
countries-and-timezones,src/build-country.js,7,18,7,!timezonesMap,timezonesMap !== null,Near Equivalent
countries-and-timezones,src/index.js,155,39,35,timezone,timezone.countries,Behavioral Change
countries-and-timezones,src/index.js,89,12,40,"getCountry(id, options)","getCountry(id, options, undefined)",Trivially Equivalent
countries-and-timezones,src/index.js,98,17,7,totalTimezones !== memoizedTimezones,totalTimezones !== memoizedTimezones + 1,Behavioral Change
countries-and-timezones,src/index.js,117,22,7,!countries[id],countries[id] === undefined,Near Equivalent
countries-and-timezones,src/build-timezone.js,55,30,17,Math.floor,Math.round,Behavioral Change
countries-and-timezones,src/index.js,100,17,7,totalTimezones !== memoizedTimezones,totalTimezones !== memoizedTimezones * 2,Behavioral Change
countries-and-timezones,src/build-timezone.js,41,14,21,Number.isInteger,Number.isSafeInteger,Near Equivalent
countries-and-timezones,src/build-timezone.js,54,30,17,Math.floor,Math.ceil,Behavioral Change
countries-and-timezones,src/index.js,87,12,40,"getCountry(id, options)","getCountry(id, options, null)",Near Equivalent
countries-and-timezones,src/build-timezone.js,56,30,17,Math.floor,Math.trunc,Trivially Equivalent
countries-and-timezones,src/index.js,175,49,18,"getCountriesForTimezone(tzName, options)","getCountriesForTimezone(tzName, options, null)",Near Equivalent
countries-and-timezones,src/build-country.js,8,18,7,!timezonesMap,typeof timezonesMap === 'undefined',Near Equivalent
countries-and-timezones,src/index.js,204,64,9,!tzs[key].deprecated,tzs[key].deprecated !== true,Near Equivalent
countries-and-timezones,src/build-country.js,18,32,11,!result[country],result[country] === undefined,Near Equivalent
countries-and-timezones,src/index.js,189,55,7,!country,country === null,Near Equivalent
countries-and-timezones,src/index.js,88,12,40,"getCountry(id, options)","getCountry(id, options, {})",Near Equivalent
countries-and-timezones,src/index.js,153,39,35,timezone,timezone.name,Behavioral Change
countries-and-timezones,src/index.js,140,32,7,!timezones[name],!timezones.hasOwnProperty(name),Near Equivalent
countries-and-timezones,src/index.js,135,27,7,!country,country === null,Near Equivalent
countries-and-timezones,src/index.js,138,32,7,!timezones[name],timezones[name] === undefined,Near Equivalent
crawler-url-parser,crawler-url-parser.js,50,55,51,true,null,Behavioral Change
crawler-url-parser,crawler-url-parser.js,30,47,18,"URL.parse(currentUrlStr, true, true)","URL.parse(currentUrlStr, false, true)",Behavioral Change
crawler-url-parser,crawler-url-parser.js,46,55,45,true,false,Behavioral Change
crawler-url-parser,crawler-url-parser.js,48,55,45,true,undefined,Behavioral Change
crawler-url-parser,crawler-url-parser.js,189,146,17,"linkurl_path.replace(/\/index\.[a-z]+$/, '/').replace(/\/default\.[a-z]+$/, '/')","linkurl_path.replace(/\/index\.[a-z]+$/, '/').replace(/\/default\.[a-z]+$/, 'default')",Behavioral Change
crawler-url-parser,crawler-url-parser.js,82,63,45,true,false,Behavioral Change
crawler-url-parser,crawler-url-parser.js,84,63,45,true,undefined,Behavioral Change
crawler-url-parser,crawler-url-parser.js,210,147,38,/\/index\.[a-z]+$/,/\/index\.[a-z]+$/g,Unknown
crawler-url-parser,crawler-url-parser.js,49,55,51,true,false,Behavioral Change
crawler-url-parser,crawler-url-parser.js,45,55,23,"URL.parse(baseUrlStr, true, true)","URL.parse(baseUrlStr, false, true)",Behavioral Change
crawler-url-parser,crawler-url-parser.js,78,63,14,"URL.parse(currentUrlStr, true, true)","URL.parse(currentUrlStr, false, true)",Behavioral Change
crawler-url-parser,crawler-url-parser.js,278,185,5,!module.parent,module.exports,Unknown
crawler-url-parser,crawler-url-parser.js,207,147,17,"pageurl_path.replace(/\/index\.[a-z]+$/, '/')","pageurl_path.replace(/\/index\.[a-z]+$/, '')",Behavioral Change
crawler-url-parser,crawler-url-parser.js,245,163,8,linkurl_without_last_part == pageurl_without_last_part,linkurl_without_last_part === pageurl_without_last_part,Near Equivalent
crawler-url-parser,crawler-url-parser.js,202,146,93,'/','\\',Behavioral Change
crawler-url-parser,crawler-url-parser.js,80,63,39,true,!parsedUrl.protocol,Unknown
crawler-url-parser,crawler-url-parser.js,20,40,16,"baseUrlStr.replace(/#.*$/, '')","baseUrlStr.replace(/#.*$/, '\\\\')",Behavioral Change
crawler-url-parser,crawler-url-parser.js,199,146,71,/\/default\.[a-z]+$/,/\/default\.[a-z]+$/g,Unknown
crawler-url-parser,crawler-url-parser.js,43,55,23,"URL.parse(baseUrlStr, true, true)","URL.parse(baseUrlStr, false, false)",Behavioral Change
crawler-url-parser,crawler-url-parser.js,136,102,19,currentUrl.url,currentUrl.protocol,Behavioral Change
crawler-url-parser,crawler-url-parser.js,33,47,43,true,undefined,Behavioral Change
crawler-url-parser,crawler-url-parser.js,34,47,49,true,false,Behavioral Change
crawler-url-parser,crawler-url-parser.js,44,55,23,"URL.parse(baseUrlStr, true, true)","URL.parse(baseUrlStr, true, false)",Behavioral Change
crawler-url-parser,crawler-url-parser.js,279,186,2,console.log,console.error,Unknown
crawler-url-parser,crawler-url-parser.js,14,36,48,'','#' + ' ',Behavioral Change
crawler-url-parser,crawler-url-parser.js,22,40,35,/#.*$/,/#.*$/g,Unknown
crawler-url-parser,crawler-url-parser.js,269,167,30,linkurl_path,"linkurl_path.substring(linkurl_path.lastIndexOf(""/"") + 1)",Unknown
